Spp1,Spp2,D,I,PD,PI,Lineage
P. arcosae,P. dunni,0.07,0.24,0.17,0.16,Nasutum-group
P. arcosae,P. hespere,0.33,0.55,0.04,0.04,Nasutum-group
P. arcosae,P. lansbergii,0.06,0.24,0.25,0.23,Nasutum-group
P. arcosae,P. nasutum,0,0.04,0.56,0.59,Nasutum-group
P. arcosae,P. ophryomegas,0.18,0.36,0.13,0.14,Nasutum-group
P. arcosae,P. porrasi,0,0,1,1,Nasutum-group
P. arcosae,P. yucatanicum,0.23,0.31,0.07,0.24,Nasutum-group
P. arcosae,P. arcosae,1,1,1,1,Nasutum-group
P. dunni,P. arcosae,0.07,0.24,0.13,0.1,Arid-Clade
P. dunni,P. hespere,0.2,0.41,0.13,0.12,Arid-Clade
P. dunni,P. lansbergii,0.38,0.57,0.08,0.09,Arid-Clade
P. dunni,P. nasutum,0.03,0.06,0.73,0.74,Arid-Clade
P. dunni,P. ophryomegas,0.22,0.42,0.15,0.14,Arid-Clade
P. dunni,P. porrasi,0,0,1,0.84,Arid-Clade
P. dunni,P. yucatanicum,0.02,0.13,0.61,0.39,Arid-Clade
P. dunni,P. dunni,1,1,1,1,Arid-Clade
P. hespere,P. arcosae,0.33,0.55,0.09,0.1,Arid-Clade
P. hespere,P. dunni,0.2,0.41,0.17,0.14,Arid-Clade
P. hespere,P. lansbergii,0.12,0.33,0.32,0.29,Arid-Clade
P. hespere,P. nasutum,0.01,0.08,0.54,0.57,Arid-Clade
P. hespere,P. ophryomegas,0.5,0.62,0.04,0.05,Arid-Clade
P. hespere,P. porrasi,0,0,1,0.54,Arid-Clade
P. hespere,P. yucatanicum,0.21,0.44,0.05,0.05,Arid-Clade
P. hespere,P. hespere,1,1,1,1,Arid-Clade
P. lansbergii,P. arcosae,0.06,0.24,0.04,0.02,Nasutum-group
P. lansbergii,P. dunni,0.38,0.57,0.05,0.06,Nasutum-group
P. lansbergii,P. hespere,0.12,0.33,0.12,0.09,Nasutum-group
P. lansbergii,P. nasutum,0.2,0.33,0.14,0.26,Nasutum-group
P. lansbergii,P. ophryomegas,0.27,0.48,0.12,0.12,Nasutum-group
P. lansbergii,P. porrasi,0.03,0.16,0.31,0.35,Nasutum-group
P. lansbergii,P. yucatanicum,0.03,0.15,0.58,0.37,Nasutum-group
P. lansbergii,P. lansbergii,1,1,1,1,Nasutum-group
P. nasutum,P. arcosae,0,0.04,0.81,0.79,Nasutum-group
P. nasutum,P. dunni,0.03,0.06,0.71,0.74,Nasutum-group
P. nasutum,P. hespere,0.01,0.08,0.35,0.38,Nasutum-group
P. nasutum,P. lansbergii,0.2,0.33,0.59,0.61,Nasutum-group
P. nasutum,P. ophryomegas,0.08,0.19,0.39,0.45,Nasutum-group
P. nasutum,P. porrasi,0.03,0.16,0.33,0.31,Nasutum-group
P. nasutum,P. yucatanicum,0.01,0.05,0.45,0.38,Nasutum-group
P. nasutum,P. nasutum,1,1,1,1,Nasutum-group
P. ophryomegas,P. arcosae,0.18,0.36,0.25,0.29,Arid-Clade
P. ophryomegas,P. dunni,0.22,0.42,0.2,0.23,Arid-Clade
P. ophryomegas,P. hespere,0.5,0.62,0.02,0.05,Arid-Clade
P. ophryomegas,P. lansbergii,0.27,0.48,0.15,0.12,Arid-Clade
P. ophryomegas,P. nasutum,0.08,0.19,0.19,0.28,Arid-Clade
P. ophryomegas,P. porrasi,0,0,1,1,Arid-Clade
P. ophryomegas,P. yucatanicum,0.23,0.45,0.27,0.12,Arid-Clade
P. ophryomegas,P. ophryomegas,1,1,1,1,Arid-Clade
P. porrasi,P. arcosae,0,0,1,1,Nasutum-group
P. porrasi,P. dunni,0,0,1,0.57,Nasutum-group
P. porrasi,P. hespere,0,0,1,0.28,Nasutum-group
P. porrasi,P. lansbergii,0.03,0.16,0.33,0.34,Nasutum-group
P. porrasi,P. nasutum,0.03,0.16,0.02,0.02,Nasutum-group
P. porrasi,P. ophryomegas,0,0,1,1,Nasutum-group
P. porrasi,P. yucatanicum,0,0,1,1,Nasutum-group
P. porrasi,P. porrasi,1,1,1,1,Nasutum-group
P. yucatanicum,P. arcosae,0.23,0.31,0.22,0.23,Nasutum-group
P. yucatanicum,P. dunni,0.02,0.13,0.26,0.24,Nasutum-group
P. yucatanicum,P. hespere,0.21,0.44,0.01,0.01,Nasutum-group
P. yucatanicum,P. lansbergii,0.03,0.15,0.36,0.31,Nasutum-group
P. yucatanicum,P. nasutum,0.01,0.05,0.36,0.41,Nasutum-group
P. yucatanicum,P. ophryomegas,0.23,0.45,0.01,0.01,Nasutum-group
P. yucatanicum,P. porrasi,0,0,1,1,Nasutum-group
P. yucatanicum,P. yucatanicum,1,1,1,1,Nasutum-group
