Spp1,Spp2,full,union,p_full,p_union,Lineage
P. arcosae,P. dunni,0.000647783,0.03451572,NO,YES,Nasutum-group
P. arcosae,P. hespere,0,0,NO,NO,Nasutum-group
P. arcosae,P. lansbergii,0.000230735,0.002630707,NO,NO,Nasutum-group
P. arcosae,P. nasutum,0.00013976,0.005640999,NO,NO,Nasutum-group
P. arcosae,P. ophryomegas,0.000332692,0.008087701,NO,YES,Nasutum-group
P. arcosae,P. porrasi,0,0,NO,NO,Nasutum-group
P. arcosae,P. yucatanicum,0,0,NO,NO,Nasutum-group
P. dunni,P. hespere,0.011174986,0.125492588,NO,NO,Arid-Clade
P. dunni,P. lansbergii,0,0,NO,NO,Arid-Clade
P. dunni,P. nasutum,0,0,NO,NO,Arid-Clade
P. dunni,P. ophryomegas,0.111658456,0.181930697,NO,NO,Arid-Clade
P. dunni,P. porrasi,0,0,NO,NO,Arid-Clade
P. dunni,P. yucatanicum,0,0,NO,NO,Arid-Clade
P. hespere,P. lansbergii,0.001104558,0.002451849,NO,NO,Arid-Clade
P. hespere,P. nasutum,0,0,NO,NO,Arid-Clade
P. hespere,P. ophryomegas,0.014020783,0.077463948,NO,YES,Arid-Clade
P. hespere,P. porrasi,0,0,NO,NO,Arid-Clade
P. hespere,P. yucatanicum,0,0,NO,NO,Arid-Clade
P. lansbergii,P. nasutum,0.120039255,0.653390142,NO,YES,Nasutum-group
P. lansbergii,P. ophryomegas,0.078783187,0.238552116,NO,NO,Nasutum-group
P. lansbergii,P. porrasi,0.000136084,0.00098968,NO,NO,Nasutum-group
P. lansbergii,P. yucatanicum,0,0,NO,NO,Nasutum-group
P. nasutum,P. ophryomegas,0.040368288,0.239779602,NO,YES,Nasutum-group
P. nasutum,P. porrasi,0.00010525,0.001804945,NO,NO,Nasutum-group
P. nasutum,P. yucatanicum,0.000115824,0.036650343,NO,NO,Nasutum-group
P. ophryomegas,P. porrasi,4.48E-05,0.000287689,NO,NO,Arid-Clade
P. ophryomegas,P. yucatanicum,0,0,NO,NO,Arid-Clade
P. porrasi,P. yucatanicum,0,0,NO,NO,Nasutum-group
P. yucatanicum,P. yucatanicum,0,0,NO,NO,Nasutum-group
P. arcosae,P. arcosae,1,1,NO,NO,Nasutum-group
P. dunni,P. dunni,1,1,NO,NO,Arid-Clade
P. hespere,P. hespere,1,1,NO,NO,Arid-Clade
P. lansbergii,P. lansbergii,1,1,NO,NO,Nasutum-group
P. nasutum,P. nasutum,1,1,NO,NO,Nasutum-group
P. ophryomegas,P. ophryomegas,1,1,NO,NO,Arid-Clade
P. porrasi,P. porrasi,1,1,NO,NO,Nasutum-group
P. yucatanicum,P. yucatanicum,1,1,NO,NO,Nasutum-group
P. dunni,P. arcosae,0,0,NO,NO,Nasutum-group
P. hespere,P. arcosae,0,0,NO,NO,Nasutum-group
P. lansbergii,P. arcosae,0,0,NO,NO,Nasutum-group
P. nasutum,P. arcosae,0,0,NO,NO,Nasutum-group
P. ophryomegas,P. arcosae,0,0,NO,NO,Nasutum-group
P. porrasi,P. arcosae,0,0,NO,NO,Nasutum-group
P. yucatanicum,P. arcosae,0,0,NO,NO,Nasutum-group
P. hespere,P. dunni,0,0,NO,NO,Arid-Clade
P. lansbergii,P. dunni,0.045976862,0.021370065,NO,NO,Arid-Clade
P. nasutum,P. dunni,0.02977722,0.095067331,NO,NO,Arid-Clade
P. ophryomegas,P. dunni,0,0,NO,NO,Arid-Clade
P. porrasi,P. dunni,0,0,NO,NO,Arid-Clade
P. yucatanicum,P. dunni,0,0,NO,NO,Arid-Clade
P. lansbergii,P. hespere,0,0,NO,YES,Arid-Clade
P. nasutum,P. hespere,0.000687972,0.014158488,NO,NO,Arid-Clade
P. ophryomegas,P. hespere,0,0,NO,NO,Arid-Clade
P. porrasi,P. hespere,0,0,NO,NO,Arid-Clade
P. yucatanicum,P. hespere,0,0,NO,NO,Arid-Clade
P. nasutum,P. lansbergii,0,0,NO,NO,Nasutum-group
P. ophryomegas,P. lansbergii,0,0,NO,NO,Nasutum-group
P. porrasi,P. lansbergii,0,0,NO,NO,Nasutum-group
P. yucatanicum,P. lansbergii,0,0,NO,NO,Nasutum-group
P. ophryomegas,P. nasutum,0,0,NO,NO,Nasutum-group
P. porrasi,P. nasutum,0,0,NO,NO,Nasutum-group
P. yucatanicum,P. nasutum,0,0,NO,NO,Nasutum-group
P. porrasi,P. ophryomegas,4.48E-05,0.000287689,NO,YES,Arid-Clade
P. yucatanicum,P. ophryomegas,0,0,NO,NO,Arid-Clade
P. yucatanicum,P. porrasi,0,0,NO,NO,Nasutum-group
